sample_id,study,StressInflammation,IdentitySecretion,IsletDysfunctionScore,disease_group,cell_context
GSM946700,GSE38642,0.32937792477583394,-0.7987612961861011,1.128139220961935,ND,islet_bulk
GSM946701,GSE38642,-0.5313927408672026,0.15104851700484126,-0.6824412578720438,ND,islet_bulk
GSM946702,GSE38642,0.17526901741846604,-0.12122412202056687,0.2964931394390329,ND,islet_bulk
GSM946703,GSE38642,-0.5055817675539918,0.9505523601962996,-1.4561341277502913,ND,islet_bulk
GSM946704,GSE38642,0.6146460113614652,-0.7347592710685517,1.349405282430017,ND,islet_bulk
GSM946705,GSE38642,-0.07898993937497704,0.3652295215577705,-0.44421946093274756,ND,islet_bulk
GSM946706,GSE38642,-0.21958407742475472,0.45882233733315747,-0.6784064147579122,ND,islet_bulk
GSM946707,GSE38642,-0.3066262717423163,0.7675422025360865,-1.0741684742784028,ND,islet_bulk
GSM946708,GSE38642,0.021939928015297795,-0.5290505045865017,0.5509904326017995,ND,islet_bulk
GSM946709,GSE38642,-0.023292142201722404,0.2180734850589687,-0.2413656272606911,ND,islet_bulk
GSM946710,GSE38642,0.6157998440882628,-0.30379945048154944,0.9195992945698123,T2D,islet_bulk
GSM946711,GSE38642,1.5343882972908442,-2.2081537963504414,3.7425420936412856,T2D,islet_bulk
GSM946712,GSE38642,0.4886786827182526,-0.8378413489784635,1.326520031696716,ND,islet_bulk
GSM946713,GSE38642,0.47825897231477715,0.6900033849608777,-0.2117444126461005,ND,islet_bulk
GSM946714,GSE38642,-0.12374326075459224,-0.9053589274286882,0.7816156666740959,ND,islet_bulk
GSM946715,GSE38642,-0.9294653587197252,1.0607595432923993,-1.9902249020121245,ND,islet_bulk
GSM946716,GSE38642,-0.38602904549561545,0.6187284301267635,-1.004757475622379,ND,islet_bulk
GSM946717,GSE38642,-0.024821977962902152,0.5164802353234504,-0.5413022132863526,ND,islet_bulk
GSM946718,GSE38642,-0.26924065027690114,0.6660033880368148,-0.9352440383137159,ND,islet_bulk
GSM946719,GSE38642,-0.6741498122483062,0.37658189533049297,-1.0507317075787992,ND,islet_bulk
GSM946720,GSE38642,-0.245805969417312,1.35958141420011,-1.605387383617422,ND,islet_bulk
GSM946721,GSE38642,-0.8731420470261978,1.7940416570135254,-2.667183704039723,ND,islet_bulk
GSM946722,GSE38642,0.4123869100808439,0.12929951408754506,0.2830873959932988,ND,islet_bulk
GSM946723,GSE38642,-0.25136562206405966,0.808004281878486,-1.0593699039425457,ND,islet_bulk
GSM946724,GSE38642,-0.03323704048420269,-1.5562124682273666,1.522975427743164,ND,islet_bulk
GSM946725,GSE38642,0.5318958273839263,-0.5819390515074598,1.113834878891386,ND,islet_bulk
GSM946726,GSE38642,-0.6489998090442385,-0.5033133975054962,-0.1456864115387423,ND,islet_bulk
GSM946727,GSE38642,0.2780338892024717,0.19689206553568706,0.08114182366678463,ND,islet_bulk
GSM946728,GSE38642,-0.007216789403024668,-0.7214113314695514,0.7141945420665268,ND,islet_bulk
GSM946729,GSE38642,0.24133351205205805,-0.2159986113241844,0.45733212337624246,ND,islet_bulk
GSM946730,GSE38642,0.08323831727660852,0.049349958857053365,0.033888358419555155,ND,islet_bulk
GSM946731,GSE38642,0.08406049264111137,0.13519391417757248,-0.05113342153646111,ND,islet_bulk
GSM946732,GSE38642,0.47417902482730623,0.5009199988218667,-0.026740973994560435,ND,islet_bulk
GSM946733,GSE38642,-0.5779641918902371,1.6407371787844545,-2.2187013706746916,ND,islet_bulk
GSM946734,GSE38642,-0.10666311215339734,-0.028132555433809006,-0.07853055671958833,ND,islet_bulk
GSM946735,GSE38642,0.8624481509530135,-0.8591017843144824,1.721549935267496,ND,islet_bulk
GSM946736,GSE38642,-0.45169700983080807,-0.005807218757913149,-0.44588979107289495,ND,islet_bulk
GSM946737,GSE38642,-0.5366348744999987,0.7022931675510966,-1.2389280420510953,ND,islet_bulk
GSM946738,GSE38642,0.8767691831328372,-0.5277763100000786,1.404545493132916,T2D,islet_bulk
GSM946739,GSE38642,0.9640139181689356,-0.4952772820092749,1.4592912001782103,T2D,islet_bulk
GSM946740,GSE38642,-0.3732774483239121,-0.38885463653989205,0.015577188215979976,ND,islet_bulk
GSM946741,GSE38642,-0.8356304705291933,0.6251840271412089,-1.4608144976704023,ND,islet_bulk
GSM946742,GSE38642,-0.32546586192616,0.5359476009741146,-0.8614134629002747,ND,islet_bulk
GSM946743,GSE38642,-0.7172099212852967,0.8506392138363688,-1.5678491351216655,ND,islet_bulk
GSM946744,GSE38642,0.5855576327026886,-2.003478693495019,2.5890363261977076,ND,islet_bulk
GSM946745,GSE38642,0.5045957910453588,-0.43988117374227553,0.9444769647876343,T2D,islet_bulk
GSM946746,GSE38642,0.772938850346899,-0.8683454646382598,1.6412843149851588,T2D,islet_bulk
GSM946747,GSE38642,0.011167214378415443,0.09297052823053192,-0.08180331385211648,T2D,islet_bulk
GSM946748,GSE38642,-0.1643813664813553,-0.07379596790182338,-0.0905853985795319,ND,islet_bulk
GSM946749,GSE38642,-0.4610126861321605,0.8480285952960158,-1.3090412814281764,ND,islet_bulk
GSM946750,GSE38642,0.03794582981015738,-0.6736522519068002,0.7115980817169576,ND,islet_bulk
GSM946751,GSE38642,-0.270340596767006,0.2226358843230542,-0.4929764810900602,ND,islet_bulk
GSM946752,GSE38642,-0.4141346556314065,0.3275451892731323,-0.7416798449045388,ND,islet_bulk
GSM946753,GSE38642,-0.9272482232130547,1.0987151720858084,-2.025963395298863,ND,islet_bulk
GSM946754,GSE38642,-0.4084921977161142,0.8699991599639963,-1.2784913576801107,ND,islet_bulk
GSM946755,GSE38642,0.8918230253289589,0.22095364825580188,0.670869377073157,ND,islet_bulk
GSM946756,GSE38642,-0.3889026596763207,0.12605601182059673,-0.5149586714969174,ND,islet_bulk
GSM946757,GSE38642,-0.012584259710108642,-0.21212773552152972,0.19954347581142107,ND,islet_bulk
GSM946758,GSE38642,0.1287865838618819,-0.8886276530373426,1.0174142368992245,ND,islet_bulk
