sample_id,study,StressInflammation,IdentitySecretion,IsletDysfunctionScore,disease_group,cell_context
GSM5009229,GSE164416,0.09596461888034798,-0.249383504251881,0.34534812313222896,T3cD,lcm_islet
GSM5009230,GSE164416,-0.09860521107243876,-0.6063344459424277,0.5077292348699889,T2D,lcm_islet
GSM5009231,GSE164416,-0.22264393056192694,-0.3800898292332186,0.15744589867129166,IGT,lcm_islet
GSM5009232,GSE164416,-0.4846791433393364,0.36538148499353595,-0.8500606283328724,IGT,lcm_islet
GSM5009233,GSE164416,0.8571243987383144,-0.007792755612048249,0.8649171543503626,IGT,lcm_islet
GSM5009234,GSE164416,-0.9606067728227112,0.45285923123029903,-1.4134660040530103,ND,lcm_islet
GSM5009235,GSE164416,-0.7807165088952819,0.12414591630459693,-0.9048624251998788,ND,lcm_islet
GSM5009236,GSE164416,0.14883346236507794,-0.0635530046137291,0.21238646697880703,ND,lcm_islet
GSM5009237,GSE164416,-0.933292635863823,0.6494920945589626,-1.5827847304227856,IGT,lcm_islet
GSM5009238,GSE164416,0.5468173265341969,-0.20405772795413113,0.750875054488328,T3cD,lcm_islet
GSM5009239,GSE164416,-0.8385154411259408,0.41867912445185596,-1.2571945655777967,ND,lcm_islet
GSM5009240,GSE164416,-0.7734365214459719,-0.28327397748696515,-0.4901625439590067,ND,lcm_islet
GSM5009241,GSE164416,-0.9631565832663579,0.5122978169409308,-1.4754544002072887,IGT,lcm_islet
GSM5009242,GSE164416,-0.5020728854058678,0.025536904879859844,-0.5276097902857276,T3cD,lcm_islet
GSM5009243,GSE164416,-1.129754949932112,-0.1382196629737191,-0.9915352869583929,T2D,lcm_islet
GSM5009244,GSE164416,-0.2766577573093247,-1.6572466567699915,1.3805888994606668,T2D,lcm_islet
GSM5009245,GSE164416,-0.007173931359997749,-0.07907448440863611,0.07190055304863836,T3cD,lcm_islet
GSM5009246,GSE164416,-0.8725359773229554,-0.4063573523854154,-0.46617862493754,T3cD,lcm_islet
GSM5009247,GSE164416,-0.39017336046388,-0.1030108180814067,-0.2871625423824733,T2D,lcm_islet
GSM5009248,GSE164416,-0.30571133961124725,0.42099936870045745,-0.7267107083117047,T3cD,lcm_islet
GSM5009249,GSE164416,-0.8738212237698996,0.7667066698281876,-1.6405278935980872,IGT,lcm_islet
GSM5009250,GSE164416,-0.5279252253148621,-0.6803581361520659,0.15243291083720378,T2D,lcm_islet
GSM5009251,GSE164416,-0.22584171899520247,0.23242221955777173,-0.4582639385529742,IGT,lcm_islet
GSM5009252,GSE164416,-0.10893746095232866,0.8257950353464224,-0.9347324962987511,ND,lcm_islet
GSM5009253,GSE164416,-0.2391957071081958,0.7869511690513491,-1.026146876159545,T3cD,lcm_islet
GSM5009254,GSE164416,-0.10172771883596372,0.716760494650146,-0.8184882134861098,ND,lcm_islet
GSM5009255,GSE164416,-0.4975525610178868,-0.46818729861378944,-0.02936526240409737,T2D,lcm_islet
GSM5009256,GSE164416,0.5637113493208261,-0.148833844497918,0.7125451938187441,T3cD,lcm_islet
GSM5009257,GSE164416,-1.0813794217561228,-1.819535628734162,0.7381562069780392,T2D,lcm_islet
GSM5009258,GSE164416,0.10070977833907449,0.6492452671646319,-0.5485354888255575,IGT,lcm_islet
GSM5009259,GSE164416,-1.4764463781772297,-1.4731160694933225,-0.003330308683907157,T3cD,lcm_islet
GSM5009260,GSE164416,0.3704464697978591,0.31358652644862073,0.056859943349238384,IGT,lcm_islet
GSM5009261,GSE164416,-0.4121230347965185,-0.5511555227084445,0.13903248791192596,ND,lcm_islet
GSM5009262,GSE164416,0.15743213045867446,0.38041463737843817,-0.2229825069197637,T3cD,lcm_islet
GSM5009263,GSE164416,0.683070688637815,0.9076725485006994,-0.2246018598628845,T3cD,lcm_islet
GSM5009264,GSE164416,-1.0062796198909905,0.5526254119103098,-1.5589050318013002,,lcm_islet
